Gene.symbol	t-score	FoldChange	pvalue	FDR
SLC25A28	1.4916669	1.080315092	0.142	0.831
SLC25A29	-1.936365	0.925517985	0.0584	0.685
SLC25A3	-3.648225	0.862444527	0.000621	0.0634
SLC25A30	-1.9643026	0.940745964	0.055	0.673
SLC25A31	-0.785017	0.98214419	0.436	0.931
SLC25A34	0.3009563	1.017745872	0.765	0.98
SLC25A35	-1.4222574	0.935513936	0.161	0.847
SLC25A36	-1.5130229	0.901908342	0.136	0.825
SLC25A4	-1.5473546	0.960444444	0.128	0.811
SLC25A40	0.2860876	1.030647986	0.776	0.981
SLC25A41	-0.3393652	0.984395379	0.736	0.979
SLC25A42	-0.1123331	0.996421779	0.911	0.996
SLC25A43	2.0986315	1.311441087	0.0408	0.631
SLC25A44	-2.3824877	0.880890152	0.021	0.499
SLC25A46	1.4644992	1.140367572	0.149	0.842
SLC25A47	-0.4052631	0.98115742	0.687	0.972
SLC25A6	-3.2352731	0.820442789	0.00214	0.15
SLC26A11	-0.8956328	0.905904465	0.375	0.916
SLC26A2	1.1485434	1.084284434	0.256	0.886
SLC26A3	-1.4507462	0.958448653	0.153	0.844
SLC26A4	-2.083397	0.945159817	0.0422	0.634
SLC26A6	1.0378129	1.061469428	0.304	0.899
SLC26A7	-0.0832649	0.998310856	0.934	0.998
SLC26A8	-1.1997006	0.937495649	0.236	0.883
SLC26A9	-0.9030013	0.968618693	0.371	0.916
SLC27A1	-1.0728141	0.949975012	0.288	0.894
SLC27A2	0.4371325	1.020176285	0.664	0.97
SLC27A3	3.1071589	1.550249571	0.00308	0.191
SLC27A5	-1.3495627	0.942202451	0.183	0.864
SLC27A6	0.9741832	1.026831508	0.335	0.907
SLC28A1	-0.8001074	0.976185245	0.427	0.928
SLC28A2	0.0319713	1.00145147	0.975	0.998
SLC29A1	-0.1398465	0.994329083	0.889	0.993
SLC29A2	-1.1167929	0.959766019	0.269	0.889
SLC29A3	0.3466244	1.018981155	0.73	0.978
SLC29A4	-0.0232703	0.998368347	0.982	0.998
SLC2A1	-0.152995	0.993966669	0.879	0.991
SLC2A10	-0.919582	0.968720012	0.362	0.914
SLC2A12	0.8106803	1.023250527	0.421	0.927
SLC2A13	0.6890504	1.027107239	0.494	0.945
SLC2A2	-0.0715864	0.998182904	0.943	0.998
SLC2A3	-1.4283248	0.838052366	0.159	0.846
SLC2A4	-1.7071005	0.947613568	0.0939	0.77
SLC2A4RG	-0.5276014	0.979844284	0.6	0.963
SLC2A5	-0.9178398	0.971430804	0.363	0.915
SLC2A6	1.2149829	1.150090834	0.23	0.882
SLC2A8	0.0249052	1.001253468	0.98	0.998
SLC2A9	-0.8590809	0.970535917	0.394	0.921
SLC30A1	-0.1054049	0.991470643	0.916	0.996
SLC30A10	-1.2371349	0.973198391	0.222	0.878
SLC30A2	-1.1424143	0.946664207	0.259	0.888
SLC30A3	0.3235701	1.016656003	0.748	0.979
SLC30A4	-1.2372192	0.968221033	0.222	0.878
SLC30A5	-0.9030739	0.931416445	0.371	0.916
SLC30A6	1.2987591	1.141660291	0.2	0.87
SLC30A7	-1.0582518	0.944476405	0.295	0.896
SLC30A8	-0.9543473	0.973536726	0.344	0.911
SLC30A9	0.2899255	1.020778268	0.773	0.981
SLC31A1	1.4598339	1.136461956	0.15	0.842
SLC31A2	4.3751698	1.524879519	0.0000601	0.00981
SLC32A1	0.1554692	1.005923623	0.877	0.991
SLC33A1	0.1934954	1.026429742	0.847	0.987
SLC34A1	0.3087783	1.011405227	0.759	0.98
SLC34A2	-1.5522175	0.953800107	0.127	0.811
SLC34A3	-0.1857237	0.993258879	0.853	0.988
SLC35A1	1.4520106	1.1838706	0.153	0.844
SLC35A2	-2.2721395	0.936704227	0.0273	0.551
SLC35A3	-0.6555148	0.947942272	0.515	0.947
SLC35A4	2.4511349	1.18979034	0.0177	0.469
SLC35A5	1.6414446	1.318705774	0.107	0.79
SLC35B1	-0.0712013	0.995879677	0.944	0.998
SLC35B2	2.7869069	1.224942985	0.00746	0.321
SLC35B3	1.584607	1.164383992	0.119	0.806
SLC35B4	-0.9564994	0.945040832	0.343	0.911
SLC35C1	1.2090695	1.041780126	0.232	0.883
SLC35D1	-1.9831255	0.887699826	0.0528	0.666
SLC35D2	-0.9100961	0.949180515	0.367	0.915
SLC35D3	0.3729375	1.037483678	0.711	0.976
SLC35E3	0.4606672	1.047430703	0.647	0.966
SLC35F2	-0.1629049	0.991343011	0.871	0.99
SLC35F3	-0.3266086	0.985284038	0.745	0.979
SLC35F5	0.0046684	1.000309843	0.996	1
SLC35F6	1.0827659	1.059367592	0.284	0.893
SLC35G3	-1.8083072	0.916495956	0.0765	0.737
SLC36A1	-1.0081722	0.959962064	0.318	0.901
SLC36A4	1.0229367	1.093531569	0.311	0.899
SLC36A4	0.1416723	1.0117566	0.888	0.993
SLC37A1	1.5184368	1.057819885	0.135	0.825
SLC37A2	1.3811015	1.09909938	0.173	0.857
SLC37A3	-0.2501081	0.978100069	0.804	0.982
SLC38A10	-0.0274128	0.998965618	0.978	0.998
SLC38A2	-0.6027696	0.958160995	0.549	0.953
SLC38A3	-0.7865747	0.957757763	0.435	0.931
SLC38A4	-1.3592049	0.971392889	0.18	0.862
SLC38A5	1.9915406	1.130748898	0.0518	0.663
SLC38A6	2.74968	1.33800401	0.00823	0.335
SLC38A7	1.3249457	1.049828799	0.191	0.867
SLC39A1	1.037039	1.122705586	0.305	0.899
SLC39A11	2.181226	1.147453492	0.0338	0.595
SLC39A12	0.1323393	1.003782438	0.895	0.994
SLC39A13	-0.2805237	0.986057177	0.78	0.981
SLC39A14	0.7415485	1.016515709	0.462	0.94
SLC39A2	0.1536143	1.007842647	0.879	0.991
SLC39A3	0.5160919	1.020722316	0.608	0.964
SLC39A4	-1.1622593	0.906070975	0.251	0.883
SLC39A5	-0.1523373	0.99239817	0.88	0.991
SLC39A6	-1.1894983	0.935382381	0.24	0.883
SLC39A7	-1.0542916	0.919710171	0.297	0.896
SLC39A8	-1.0189444	0.955693526	0.313	0.899
SLC39A9	0.4002324	1.009992857	0.691	0.973
SLC3A1	-0.3964853	0.978395206	0.693	0.973
SLC3A2	1.1033426	1.098486409	0.275	0.89
SLC40A1	-0.6149793	0.976130019	0.541	0.952
SLC41A1	-0.0682138	0.996457687	0.946	0.998
SLC41A2	-0.5606143	0.982638009	0.578	0.962
SLC41A3	-1.5893345	0.931930001	0.118	0.804
SLC43A1	-0.7956132	0.973365719	0.43	0.929
SLC43A2	0.7028458	1.057818682	0.485	0.944
SLC43A3	1.9250143	1.150267488	0.0598	0.692
SLC44A1	0.8841456	1.044141988	0.381	0.918
SLC44A3	0.1251198	1.004883142	0.901	0.995
SLC44A4	0.6557154	1.025113811	0.515	0.947
SLC45A2	-0.7521703	0.970592428	0.455	0.938
SLC45A3	-1.0079479	0.964331266	0.318	0.901
SLC45A4	-1.1605997	0.882412682	0.251	0.883
SLC46A1	0.0281016	1.000816556	0.978	0.998
SLC46A2	-0.2854469	0.961912693	0.776	0.981
SLC46A3	1.035618	1.082201758	0.305	0.899
SLC47A1	1.842938	1.189449961	0.0712	0.729
SLC47A2	0.0760665	1.002933799	0.94	0.998
SLC48A1	0.111684	1.006425066	0.912	0.996
SLC49A3	0.9099473	1.058198516	0.367	0.915
SLC4A1	0.6761769	1.021945514	0.502	0.946
SLC4A10	-0.6837681	0.979421934	0.497	0.945
SLC4A11	-0.4442256	0.987318058	0.659	0.969
SLC4A1AP	-0.7155195	0.966241277	0.478	0.943
SLC4A2	1.1659254	1.120729383	0.249	0.883
SLC4A3	-1.0671933	0.929278149	0.291	0.895
SLC4A4	0.8544607	1.020292354	0.397	0.921
SLC4A7	-1.3475325	0.935716423	0.184	0.864
SLC4A9	-0.7963732	0.969971135	0.43	0.929
SLC50A1	-0.085043	0.993811368	0.933	0.998
SLC51B	-0.7097943	0.968791237	0.481	0.943
SLC52A1	-0.1790933	0.992485576	0.859	0.989
SLC52A2	1.3809919	1.095003036	0.173	0.857
SLC52A3	-1.8007882	0.943690425	0.0776	0.741
SLC5A1	-0.1652887	0.994197017	0.869	0.99
SLC5A10	-0.3834363	0.983254951	0.703	0.974
SLC5A11	0.2442905	1.010078977	0.808	0.983
SLC5A12	-0.5459259	0.982706198	0.587	0.962
SLC5A3	-1.5170984	0.924781979	0.135	0.825
SLC5A4	-0.0034661	0.99990137	0.997	1
SLC5A5	0.0986812	1.004286976	0.922	0.997
SLC5A6	0.0069925	1.000440121	0.994	0.999
SLC5A7	-1.0612061	0.974631104	0.294	0.896
SLC5A8	-0.6712992	0.961893011	0.505	0.946
SLC5A9	-0.2709063	0.985894146	0.788	0.982
SLC6A1	-0.5306337	0.9858007	0.598	0.963
SLC6A12	1.01679	1.070652312	0.314	0.899
SLC6A13	0.1022101	1.00532622	0.919	0.997
SLC6A14	-2.2348986	0.942974596	0.0298	0.572
SLC6A15	-1.2550503	0.97398573	0.215	0.877
SLC6A16	-1.1847013	0.926341415	0.242	0.883
SLC6A17	-0.9372344	0.956226014	0.353	0.912
SLC6A18	-1.2312002	0.939587614	0.224	0.88
SLC6A19	-1.0125625	0.948829651	0.316	0.9
SLC6A2	-0.3453705	0.988803147	0.731	0.978
SLC6A20	-1.1684456	0.95900799	0.248	0.883
SLC6A3	-0.1398946	0.993848602	0.889	0.993
SLC6A6	-1.7546211	0.907811582	0.0853	0.754
SLC6A7	-0.36447	0.985200988	0.717	0.978
SLC6A8	1.2379998	1.185951523	0.221	0.878
SLC6A9	0.6388117	1.032629959	0.526	0.949
SLC7A1	-0.9145339	0.970654714	0.365	0.915
SLC7A10	-1.2771686	0.942347584	0.207	0.876
SLC7A11	-0.3491689	0.989731849	0.728	0.978
SLC7A13	-0.0403355	0.998498662	0.968	0.998
SLC7A2	-0.2080834	0.994781429	0.836	0.986
SLC7A3	-0.7415277	0.967480796	0.462	0.94
SLC7A4	-1.1879709	0.96302842	0.24	0.883
SLC7A5	-0.8867176	0.82458074	0.379	0.918
SLC7A7	0.6759563	1.048521504	0.502	0.946
SLC7A8	-0.7821782	0.922838226	0.438	0.932
SLC8A1	2.1761513	1.362542433	0.0342	0.597
SLC8A1	2.1208171	1.097837778	0.0388	0.621
SLC8A2	-0.4504409	0.977773161	0.654	0.967
SLC8A3	-0.7164453	0.975417371	0.477	0.943
SLC8B1	-0.6505938	0.968835323	0.518	0.948
SLC9A1	0.0195509	1.000771597	0.984	0.999
SLC9A2	-1.9739145	0.936370267	0.0538	0.67
SLC9A3R2	-1.2774393	0.957307495	0.207	0.876
SLC9A5	-0.6165719	0.980529894	0.54	0.952
SLC9A6	-0.6428327	0.963714956	0.523	0.949
SLC9A8	-0.8908831	0.942360393	0.377	0.917
SLC9A9	0.8494472	1.033217526	0.4	0.923
SLC9B2	-0.7668249	0.968375094	0.447	0.936
SLC9C2	-1.0751548	0.974077037	0.287	0.894
SLCO1A2	0.7458099	1.02129891	0.459	0.939
SLCO1B1	0.2933437	1.009895468	0.77	0.98
SLCO1B3	-0.5319368	0.985621055	0.597	0.963
SLCO1C1	0.3616169	1.009639641	0.719	0.978
SLCO2A1	0.7913943	1.023800411	0.432	0.931
SLCO2B1	-0.0880839	0.996249873	0.93	0.998
SLCO3A1	-0.2682101	0.980176831	0.79	0.982
SLCO4A1	-0.3553888	0.964820342	0.724	0.978
SLCO4C1	0.6092924	1.088004263	0.545	0.952
SLCO5A1	0.1905101	1.006421941	0.85	0.987
SLCO6A1	-0.2012345	0.993271857	0.841	0.987
SLF2	0.2752948	1.01961685	0.784	0.982
SLFN13	1.108181	1.117886936	0.273	0.889
SLFNL1	0.0258104	1.000895358	0.98	0.998
SLIT1	-1.157647	0.962106209	0.252	0.885
SLIT2	1.0713712	1.030975586	0.289	0.894
SLITRK1	-0.5322194	0.979344836	0.597	0.963
SLITRK2	-0.6496252	0.975542202	0.519	0.948
SLITRK3	1.1398573	1.036862249	0.26	0.888
SLITRK4	0.373237	1.051611373	0.711	0.976
SLITRK5	-0.98881	0.956461836	0.327	0.904
SLITRK6	-0.9956486	0.976696106	0.324	0.902
SLK	-0.6842541	0.943262632	0.497	0.945
SLMAP	0.0173072	1.0007602	0.986	0.999
SLN	1.0107642	1.037359535	0.317	0.9
SLPI	-1.0825432	0.898119362	0.284	0.893
SLTM	0.0710128	1.004613453	0.944	0.998
SLU7	-0.2355502	0.985822682	0.815	0.984
SLURP1	-0.7075443	0.969453254	0.482	0.944
SLX4	0.5402716	1.020306816	0.591	0.962
SMAD2	1.029329	1.042079591	0.308	0.899
SMAD4	-1.2427517	0.918230469	0.22	0.878
SMAD5	-1.241048	0.918044817	0.22	0.878
SMAD6	-0.9748174	0.94977356	0.334	0.907
SMAD7	-0.62138	0.877211518	0.537	0.951
SMAD9	-0.1340639	0.994799481	0.894	0.993
SMAGP	0.6877456	1.046971434	0.495	0.945
SMAP1	0.1019807	1.004209244	0.919	0.997
SMAP2	-1.1293947	0.93462034	0.264	0.889
SMARCA1	1.5800242	1.027400172	0.12	0.807
SMARCA2	-1.2666078	0.903112212	0.211	0.877
SMARCA4	0.5952109	1.035896783	0.554	0.955
SMARCA5	0.3244103	1.017654041	0.747	0.979
SMARCAD1	0.7231423	1.056328033	0.473	0.942
SMARCAL1	1.1065538	1.115542772	0.274	0.889
SMARCB1	-1.3570331	0.938860196	0.181	0.863
SMARCC1	-0.5432385	0.974744308	0.589	0.962
SMARCC2	-0.2000369	0.989302049	0.842	0.987
SMARCD1	-1.4806309	0.942587406	0.145	0.835
SMARCD2	-0.8551658	0.949064577	0.396	0.921
SMARCD3	-0.5843072	0.944620605	0.562	0.957
SMC1A	1.0120696	1.042957977	0.316	0.9
SMC1B	0.8282431	1.025179759	0.411	0.924
SMC2	2.3203354	1.294994473	0.0244	0.531
SMC3	-1.8661056	0.808189409	0.0678	0.718
SMC4	0.721087	1.042092195	0.474	0.943
SMC5	0.975162	1.079771296	0.334	0.907
SMC5	-0.0618828	0.994172829	0.951	0.998
SMC6	1.4845236	1.126886582	0.144	0.833
SMCHD1	0.3509954	1.028807589	0.727	0.978
SMCO1	-1.0511144	0.947150822	0.298	0.896
SMCO3	-0.2625002	0.98805266	0.794	0.982
SMCO4	2.6301366	1.554272345	0.0113	0.379
SMCP	-0.1459608	0.992719661	0.885	0.992
SMDT1	-1.5924457	0.831608339	0.117	0.804
SMG1	0.4927732	1.034042734	0.624	0.965
SMG5	-1.1267419	0.945216579	0.265	0.889
SMG6	-0.7270902	0.972114388	0.47	0.942
SMG7	1.0406656	1.047277211	0.303	0.898
SMG8	-1.1098353	0.94136823	0.272	0.889
SMG9	0.1837112	1.005452272	0.855	0.988
SMIM1	-0.3517047	0.982463837	0.727	0.978
SMIM10	-0.7147122	0.979307596	0.478	0.943
SMIM12	-0.4669243	0.976728074	0.643	0.966
SMIM14	1.1784423	1.179991789	0.244	0.883
SMIM15	-0.0412146	0.995356035	0.967	0.998
SMIM17	0.5448716	1.025137543	0.588	0.962
SMIM20	0.4387783	1.028675928	0.663	0.97
SMIM22	0.1982986	1.009361385	0.844	0.987
SMIM24	-1.1698026	0.937940467	0.248	0.883
SMIM26	-1.646564	0.873608555	0.106	0.79
SMIM29	0.9438732	1.064836493	0.35	0.912
SMIM3	-0.2604208	0.9734563	0.796	0.982
SMIM32	-1.0608386	0.953822606	0.294	0.896
SMIM5	2.4137015	1.264739744	0.0194	0.488
SMIM7	-2.5539317	0.935877631	0.0137	0.417
SMIM8	-0.5437225	0.97705017	0.589	0.962
SMKR1	-0.8421955	0.943115926	0.404	0.923
SMLR1	0.0014976	1.000033743	0.999	1
SMNDC1	-0.3283815	0.980523172	0.744	0.979
SMO	-0.2421112	0.991915562	0.81	0.983
SMOC1	-0.1258628	0.995092918	0.9	0.995
SMOC2	-0.0723312	0.997577921	0.943	0.998
SMOX	0.3321844	1.016824862	0.741	0.979
SMPD1	-0.2930534	0.988797431	0.771	0.98
SMPD2	-1.4029339	0.936722536	0.167	0.852
SMPD3	-0.176167	0.993527083	0.861	0.99
SMPDL3A	0.5426039	1.038035289	0.59	0.962
SMPDL3B	-0.0779601	0.996895433	0.938	0.998
SMPX	-0.0396014	0.998584792	0.969	0.998
SMTN	-0.222286	0.992993308	0.825	0.984
SMTNL1	-1.2768735	0.960742837	0.207	0.876
SMTNL2	-0.6136377	0.973239743	0.542	0.952
SMUG1	0.9347786	1.045267828	0.354	0.912
SMURF1	-0.0588828	0.997643986	0.953	0.998
SMURF2	-1.5106256	0.844007884	0.137	0.825
SMYD1	-1.1055317	0.974722154	0.274	0.889
SMYD2	0.1257232	1.005740639	0.9	0.995
SMYD3	-0.2496042	0.984709349	0.804	0.982
SMYD4	1.32557	1.075535668	0.191	0.867
SMYD5	0.6088345	1.035347845	0.545	0.952
SNAI1	1.2199715	1.104717164	0.228	0.881
SNAI2	0.3786947	1.013038701	0.706	0.976
SNAP23	0.0533664	1.004861062	0.958	0.998
SNAP25	-0.5371099	0.987293073	0.594	0.962
SNAP29	1.1658556	1.109122841	0.249	0.883
SNAP47	-0.5871117	0.971043722	0.56	0.957
SNAP91	0.1427005	1.005170468	0.887	0.992
SNAPC1	-1.8068231	0.857545182	0.0767	0.737
SNAPC2	-0.0693993	0.994274671	0.945	0.998
SNAPC3	1.3439318	1.135758569	0.185	0.864
SNAPC4	0.9148338	1.06899035	0.365	0.915
SNAPC5	-0.3914465	0.964619861	0.697	0.974
SNAPIN	1.0115676	1.097556006	0.317	0.9
SNCA	1.3296936	1.30312595	0.19	0.867
SNCAIP	-1.2254629	0.962756985	0.226	0.88
SNCB	-0.3624222	0.985083279	0.719	0.978
SNCG	-1.1343277	0.93753822	0.262	0.889
SND1	0.2669298	1.016237925	0.791	0.982
SNN	0.3220644	1.023832409	0.749	0.979
SNPH	-0.3601525	0.977249773	0.72	0.978
SNRK	-2.0983706	0.874540966	0.0408	0.631
SNRNP200	-1.9582819	0.913884583	0.0557	0.676
SNRNP25	-0.2517709	0.984395133	0.802	0.982
SNRNP27	-2.1226601	0.884185628	0.0387	0.621
SNRNP35	-0.8780794	0.949703496	0.384	0.918
SNRNP40	-0.1384871	0.982044973	0.89	0.993
SNRNP48	-0.6247811	0.940439121	0.535	0.951
SNRNP70	-1.7702334	0.916756738	0.0827	0.753
SNRPA	0.1982184	1.024651912	0.844	0.987
SNRPB	-0.1250112	0.990028512	0.901	0.995
SNRPC	-0.0395752	0.996785737	0.969	0.998
SNRPD1	-0.7302664	0.953926873	0.469	0.941
SNRPD3	0.1164762	1.007142106	0.908	0.996
SNRPE	-0.8094967	0.964384481	0.422	0.928
SNRPF	-1.6332099	0.903741808	0.109	0.794
SNRPG	-0.1347619	0.992593732	0.893	0.993
SNRPN	-0.8616662	0.944811493	0.393	0.92
SNTA1	-1.57814	0.918536954	0.121	0.807
SNTB1	-0.0934616	0.998046445	0.926	0.997
SNTB2	0.0767795	1.004715236	0.939	0.998
SNTG1	-0.1403487	0.996854762	0.889	0.993
SNTN	0.3150353	1.009281819	0.754	0.98
SNU13	-1.3417514	0.933426719	0.186	0.864
SNUPN	1.2593066	1.094728161	0.214	0.877
SNW1	0.7154787	1.061955844	0.478	0.943
SNX1	1.7690847	1.200519044	0.0829	0.753
SNX11	1.8746575	1.114558653	0.0666	0.714
SNX12	-1.5569028	0.962372645	0.126	0.81
SNX13	-0.7799158	0.921384498	0.439	0.932
SNX14	2.1939618	1.202143083	0.0328	0.592
SNX15	1.1355502	1.061046946	0.261	0.889
SNX16	-0.1991914	0.978771379	0.843	0.987
SNX17	0.8795538	1.070602287	0.383	0.918
SNX18	-0.5354304	0.972965524	0.595	0.962
SNX19	1.2482102	1.064122654	0.218	0.878
SNX20	-0.2852663	0.987507294	0.777	0.981
SNX21	1.1302149	1.062631084	0.264	0.889
SNX24	0.795247	1.030590301	0.43	0.929
SNX25	-1.2675906	0.912068996	0.211	0.877
SNX27	0.9801327	1.074481006	0.332	0.906
SNX3	0.1733393	1.006699428	0.863	0.99
SNX30	-1.2077046	0.913835884	0.233	0.883
SNX31	0.9024921	1.022105283	0.371	0.916
SNX32	-0.4904486	0.979959811	0.626	0.965
SNX33	-2.1156223	0.9129107	0.0393	0.623
SNX4	-0.1427448	0.989588809	0.887	0.992
SNX7	-2.1122966	0.909245604	0.0396	0.623
SNX8	-0.2345586	0.986111796	0.815	0.984
SNX9	-1.5566289	0.819334898	0.126	0.81
SOBP	-1.3045541	0.961265166	0.198	0.868
SOCS1	-0.3911465	0.979926304	0.697	0.974
SOCS2	1.1438909	1.06144801	0.258	0.888
SOCS3	-0.751888	0.934739101	0.456	0.938
SOCS5	-1.1287058	0.93752443	0.264	0.889
SOCS6	0.5413006	1.057091669	0.591	0.962
SOD1	-1.5147256	0.899360446	0.136	0.825
SOD3	0.2939847	1.021391537	0.77	0.98
SOGA1	0.9907635	1.105229151	0.326	0.903
SOHLH1	1.0738372	1.039602299	0.288	0.894
SOHLH2	0.0649641	1.001976755	0.948	0.998
SON	-0.615672	0.970647596	0.541	0.952
SORBS1	-0.9388693	0.969573847	0.352	0.912
SORBS2	-0.653307	0.967072228	0.516	0.947
SORBS3	-0.9349156	0.953686586	0.354	0.912
SORCS1	-0.7174543	0.975604738	0.476	0.943
SORCS2	0.6691412	1.022311412	0.506	0.947
SORL1	-3.5035637	0.825979356	0.000965	0.0865
SORT1	2.2035244	1.133130765	0.0321	0.591
SOST	1.1197631	1.034374117	0.268	0.889
SOSTDC1	-1.257314	0.960536086	0.214	0.877
SOWAHA	1.2626936	1.04321114	0.212	0.877
SOWAHC	1.6251832	1.160623375	0.11	0.796
SOX1	-1.6899254	0.960812004	0.0971	0.775
SOX10	0.1506468	1.006527975	0.881	0.991
SOX11	-0.9670689	0.958815954	0.338	0.908
SOX12	-1.2662717	0.946423545	0.211	0.877
SOX13	-0.8822151	0.968965416	0.382	0.918
SOX14	-1.2483189	0.957922051	0.218	0.878
SOX15	0.2377124	1.010601075	0.813	0.984
SOX17	-0.6971326	0.973968244	0.489	0.944
SOX18	-1.077706	0.972876748	0.286	0.894
SOX2	-0.7794153	0.979570736	0.439	0.932
SOX21	-0.4494668	0.975051442	0.655	0.967
SOX3	-0.5308167	0.983767309	0.598	0.963
SOX30	0.530981	1.011312349	0.598	0.963
SOX8	0.0959996	1.006098949	0.924	0.997
SOX9	-1.6885164	0.962040937	0.0974	0.775
SP100	5.9999995	1.462973077	0.000000205	0.0000675
SP110	6.3624048	1.634388514	5.52E-08	0.0000222
SP140	1.4227718	1.121354144	0.161	0.846
SP2	-0.0234614	0.9976761	0.981	0.998
SP3	0.2311433	1.012631361	0.818	0.984
SP4	-1.609378	0.931279038	0.114	0.801
SP5	-0.8982409	0.942968981	0.373	0.916
SP6	-1.2220363	0.934390927	0.227	0.881
SP7	0.833475	1.031543106	0.408	0.923
SP8	-0.2319065	0.994506289	0.818	0.984
SPA17	2.1865501	1.122305499	0.0334	0.592
SPAAR	0.4562259	1.020339271	0.65	0.966
SPACA1	0.9957594	1.023738042	0.324	0.902
SPACA3	-1.7167179	0.937973871	0.0921	0.766
SPACA4	0.4460873	1.023184724	0.657	0.969
SPACA6	-1.8127906	0.936592428	0.0758	0.737
SPACA7	-0.1032985	0.996886775	0.918	0.996
SPACA9	-0.4123827	0.984128378	0.682	0.972
SPAG1	-1.3893083	0.835275947	0.171	0.853
SPAG11B	0.9524434	1.045141471	0.345	0.911
SPAG17	-1.826499	0.947031718	0.0736	0.733
SPAG4	-1.1849134	0.953763072	0.242	0.883
SPAG5	0.054843	1.002740779	0.956	0.998
SPAG7	-0.4388023	0.975784526	0.663	0.97
SPAG8	-0.4229779	0.98188839	0.674	0.972
SPAG9	-1.3924044	0.906557843	0.17	0.852
SPAM1	-0.4708701	0.983615667	0.64	0.966
SPARC	1.1664191	1.238371891	0.249	0.883
SPART	-0.0105483	0.998930229	0.992	0.999
SPAST	-0.9025194	0.941869312	0.371	0.916
SPATA1	0.3000052	1.010631365	0.765	0.98
SPATA12	-1.540015	0.950829579	0.13	0.813
SPATA13	0.4879737	1.02694229	0.628	0.965
SPATA13	-0.1402264	0.99125642	0.889	0.993
SPATA16	-0.7709381	0.970776372	0.444	0.935
SPATA17	0.4455793	1.012792818	0.658	0.969
SPATA18	-0.0996339	0.996462985	0.921	0.997
SPATA19	-1.522106	0.951037933	0.134	0.823
SPATA2	-2.2691004	0.882585353	0.0275	0.553
SPATA22	0.7961842	1.024167412	0.43	0.929
SPATA24	0.4270517	1.023151249	0.671	0.972
SPATA25	-0.5178077	0.976765934	0.607	0.964
SPATA2L	0.437379	1.037819149	0.664	0.97
SPATA31E1	-1.123779	0.967171991	0.266	0.889
SPATA32	0.3528346	1.012707176	0.726	0.978
SPATA4	-0.4507698	0.985828463	0.654	0.967
SPATA45	-0.3198886	0.989007064	0.75	0.98
SPATA46	0.1246578	1.006550838	0.901	0.995
SPATA5L1	1.0705907	1.049061132	0.289	0.894
SPATA6	-1.5557692	0.943327159	0.126	0.81
SPATA6L	-1.6613913	0.964861238	0.103	0.785
SPATA7	0.9434984	1.042658636	0.35	0.912
SPATA8	0.6227702	1.02360456	0.536	0.951
SPATA9	-0.048491	0.998604443	0.962	0.998
SPATC1	-0.6000688	0.97275449	0.551	0.954
SPATC1L	-0.3748441	0.966009284	0.709	0.976
SPATS1	1.9347309	1.065867238	0.0586	0.687
SPATS2L	6.9826984	1.517965561	5.79E-09	0.00000332
SPC24	0.9298836	1.036541487	0.357	0.912
SPC25	1.5070275	1.052986799	0.138	0.825
SPCS1	1.4239739	1.129541267	0.161	0.846
SPCS1	0.1817544	1.011582539	0.856	0.989
SPCS3	1.3029299	1.12860699	0.198	0.868
SPDEF	-0.8759009	0.962037036	0.385	0.919
SPDL1	0.1163474	1.004292448	0.908	0.996
SPDYA	0.7812258	1.024929388	0.438	0.932
SPECC1	1.5743408	1.106687953	0.122	0.807
SPECC1L	0.962915	1.067958584	0.34	0.909
SPEF1	-1.2876559	0.947390001	0.204	0.874
SPEF2	-0.3385549	0.988645843	0.736	0.979
SPEG	-1.6251475	0.948343646	0.11	0.796
SPEM2	0.1132092	1.00365416	0.91	0.996
SPERT	0.03939	1.001881139	0.969	0.998
SPG21	-0.9833003	0.954316869	0.33	0.905
SPG7	-0.5396453	0.969241767	0.592	0.962
SPHK1	2.5036622	1.188224409	0.0155	0.44
SPHKAP	0.5927472	1.022163251	0.556	0.956
SPI1	0.3373844	1.020103658	0.737	0.979
SPIB	-1.1983468	0.927750681	0.236	0.883
SPIC	0.7602966	1.049458902	0.451	0.937
SPICE1	-0.3126367	0.985197089	0.756	0.98
SPIDR	-0.4889647	0.968915837	0.627	0.965
SPIN1	-1.2141469	0.902288929	0.23	0.882
SPIN3	-0.0336732	0.99787695	0.973	0.998
SPIN4	-0.3142934	0.968666444	0.755	0.98
SPINDOC	-0.2784972	0.987331711	0.782	0.981
SPINK1	0.6579749	1.019664302	0.514	0.947
SPINK13	0.4806435	1.018778381	0.633	0.965
SPINK2	-0.641448	0.938252582	0.524	0.949
SPINK4	-1.1295124	0.9367199	0.264	0.889
SPINK5	0.3918309	1.018570846	0.697	0.974
SPINK6	-1.454571	0.940894525	0.152	0.842
SPINK7	-0.1246081	0.995765012	0.901	0.995
SPINT1	-1.2223973	0.949269753	0.227	0.881
SPINT2	-1.2763141	0.935669149	0.208	0.876
SPINT3	-1.2639855	0.958132218	0.212	0.877
SPIRE1	-1.1566312	0.962436038	0.253	0.885
SPIRE2	-1.4025481	0.956683353	0.167	0.852
SPN	-0.0924429	0.994395912	0.927	0.997
SPO11	0.3832435	1.008562542	0.703	0.974
SPOCD1	0.462868	1.020743917	0.645	0.966
SPOCK2	-1.9927065	0.85053671	0.0517	0.663
SPOCK3	-0.5569341	0.989363787	0.58	0.962
